"run","tick","OriginOfConsumedResouces"
1,4.0,"Southern Asia:Northern America|79370.27;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8519.28;Western Europe|92971.34;Oceania|41827.48;Russian Federation|0.0;India|0.0;Pakistan|3585.0;United States of America|154571.27;China|0.0;"
1,4.0,"Eastern Europe:Northern America|120546.41;South America|0.0;Central Asia|0.0;Eastern Europe|3221522.83;Northern Europe|12746.9;Western Europe|139107.3;Oceania|29809.8;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|233064.16;China|0.0;"
1,4.0,"Middle Africa:Northern America|9239.16;South America|0.0;Central Asia|0.0;Eastern Europe|429.0;Northern Europe|1023.46;Western Europe|11158.4;Oceania|5164.88;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|18694.4;China|0.0;"
1,4.0,"Central America:Northern America|76857.92;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8128.28;Western Europe|88690.94;Oceania|37621.48;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|152015.51;China|0.0;"
1,4.0,"Southern Africa:Northern America|21388.73;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|2368.0;Western Europe|25830.84;Oceania|11953.28;Russian Federation|0.0;India|996.0;Pakistan|0.0;United States of America|43279.17;China|0.0;"
1,4.0,"South-Eastern Asia:Northern America|110625.92;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|11875.22;Western Europe|129583.22;Oceania|59964.36;Russian Federation|0.0;India|3332.0;Pakistan|0.0;United States of America|213772.55;China|1666.0;"
1,4.0,"China:Northern America|176733.96;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|21793.14;Western Europe|237829.56;Oceania|110053.4;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|339741.71;China|8768353.56;"
1,4.0,"Pakistan:Northern America|57581.27;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|6587.74;Western Europe|71881.94;Oceania|33263.04;Russian Federation|0.0;India|0.0;Pakistan|1260366.9;United States of America|111013.52;China|0.0;"
1,4.0,"Eastern Asia:Northern America|191896.33;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|20598.38;Western Europe|224779.44;Oceania|104013.36;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|370822.07;China|8670.0;"
1,4.0,"Russian Federation:Northern America|145333.99;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|15369.0;Western Europe|167712.46;Oceania|52518.12;Russian Federation|3465859.48;India|0.0;Pakistan|0.0;United States of America|268444.95;China|0.0;"
