"run","tick","OriginOfConsumedResouces"
1,4.0,"Russian Federation:Northern America|145333.99;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|15369.0;Western Europe|167712.46;Oceania|52518.12;Russian Federation|3465859.48;India|0.0;Pakistan|0.0;United States of America|268444.95;China|0.0;"
1,4.0,"Northern Africa:Northern America|221178.08;South America|0.0;Central Asia|0.0;Eastern Europe|9846.0;Northern Europe|23388.9;Western Europe|255235.48;Oceania|111543.04;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|424344.33;China|0.0;"
1,4.0,"Eastern Asia:Northern America|191896.33;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|20598.38;Western Europe|224779.44;Oceania|104013.36;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|370822.07;China|8670.0;"
1,4.0,"Western Africa:Northern America|43792.47;South America|0.0;Central Asia|0.0;Eastern Europe|1947.0;Northern Europe|4630.5;Western Europe|50533.96;Oceania|21438.84;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|84666.15;China|0.0;"
1,4.0,"Southern Europe:Northern America|71890.29;South America|0.0;Central Asia|0.0;Eastern Europe|3198.0;Northern Europe|7602.26;Western Europe|82959.94;Oceania|35190.24;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|138993.7;China|0.0;"
1,5.0,"Northern America:Northern America|729763.76;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|0.0;Western Europe|0.0;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,5.0,"Southern Asia:Northern America|79586.26;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8497.66;Western Europe|92971.34;Oceania|42370.63;Russian Federation|0.0;India|0.0;Pakistan|4780.0;United States of America|155003.03;China|0.0;"
1,5.0,"South America:Northern America|79244.12;South America|1304713.96;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8335.53;Western Europe|91202.68;Oceania|22399.57;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|154397.52;China|0.0;"
1,5.0,"Central Asia:Northern America|28836.98;South America|0.0;Central Asia|1108231.35;Eastern Europe|0.0;Northern Europe|3434.89;Western Europe|37566.06;Oceania|13799.89;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|55989.84;China|0.0;"
1,5.0,"South-Eastern Asia:Northern America|109260.96;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|11845.09;Western Europe|129583.22;Oceania|62387.41;Russian Federation|0.0;India|3332.0;Pakistan|0.0;United States of America|216039.95;China|1666.0;"
1,5.0,"Pakistan:Northern America|57748.26;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|6571.03;Western Europe|71881.94;Oceania|33682.99;Russian Federation|0.0;India|0.0;Pakistan|1258766.86;United States of America|107561.28;China|0.0;"
1,5.0,"Southern Africa:Northern America|21116.74;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|2362.0;Western Europe|25830.84;Oceania|12104.18;Russian Federation|0.0;India|1328.0;Pakistan|0.0;United States of America|43731.13;China|0.0;"
1,5.0,"Northern Europe:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|1593426.43;Western Europe|0.0;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,5.0,"Oceania:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|0.0;Western Europe|0.0;Oceania|390626.12;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,5.0,"Central America:Northern America|77063.96;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8107.66;Western Europe|88690.94;Oceania|36999.63;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|154707.39;China|0.0;"
1,5.0,"Eastern Africa:Northern America|24094.34;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|2653.82;Western Europe|29017.72;Oceania|13598.9;Russian Federation|0.0;India|0.0;Pakistan|1492.0;United States of America|48752.91;China|0.0;"
1,5.0,"China:Northern America|177286.48;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|21737.83;Western Europe|237829.56;Oceania|111442.9;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|314541.19;China|8775795.7;"
1,5.0,"Eastern Europe:Northern America|120869.58;South America|0.0;Central Asia|0.0;Eastern Europe|3216824.21;Northern Europe|12714.55;Western Europe|139107.3;Oceania|19102.55;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|235498.24;China|0.0;"
